tier,summonerId,summonerName,leaguePoints,wins,losses,veteran,inactive,freshBlood,hotStreak
GRANDMASTER,fbL3FjU60sp_6l_k85GnFfJzPb2VChIDMwy_uzsbVXguYy3YuaSAWPa_8w,하다 캐리,370,118,82,False,False,False,False
GRANDMASTER,E3NLd2cyzmPufPDKHPpKsrAt-64uGfHjEzTGrUs7vw2n0K0,오뚜기3분미트볼,417,41,19,False,False,False,True
GRANDMASTER,UNqhsLYWQ7ENSZZPwknyhsj77I88ukUOc_IPOyFwhOTDcZ8,cvMex,339,152,131,True,False,False,False
GRANDMASTER,iVQfbf67HtlwLVR2O8bSsXjxUS5PLNKMMTQYziZvyAqbSDc,Kynel99,271,75,54,False,False,False,False
GRANDMASTER,sD-8HoNcrLiOqhnLTisuhNNFvCk0OhpPW1O2PwlU3ty21KQk7KyEZV1Xsw,1달안에챌린저,403,72,57,False,False,False,False
GRANDMASTER,cwUdngNAa13xiLOQFmLjfX5qmspIV_xGV1nbEeeg9w3K9CE,간다라쿤다,444,108,88,False,False,False,False
GRANDMASTER,BMLHsl7wnA5FVSDMrJZEUWZeThoSsgQqnyafD8l27fSi9eA,지으자닉네임,237,123,121,False,False,True,True
GRANDMASTER,1HNZCbqYuxAqob_guQ9vKF8T41MRDPVFO0058xT648psfrJ9gqz-VHdQ8w,절대핑을찍지않음,362,134,125,True,False,False,False
GRANDMASTER,azx_NwJdQxJouff3fx4-f5_8wn5r0uKvRuBCPWtjV5vpUh7IrrUUYC9miw,iop04,418,107,95,False,False,False,False
GRANDMASTER,4w68W44keEB4ocYIYtoR73cZ6xAD5Pzv2me9JD_EyTbkWCQ6A0a17BfkBQ,진지빡겜함1,280,93,71,False,False,True,False
GRANDMASTER,_BXeQSLi3Ydk4bx6zmKusXL3V-iJktARWuzQmNnt3UG4FwQ,땅우양1,208,51,34,False,False,True,False
GRANDMASTER,oI5AVlpAuYxFX1FS0fupRyZvwk8NuIt12Nwoc6mNiSP6BtI,읽씹맨,450,100,78,False,False,True,False
GRANDMASTER,ZKjiCya3SrPYl65nBvAjRqZr1wVJEywELOyk2yETR2QjWCd81K5K2vVwfQ,메로나마싯다,289,71,41,False,False,True,False
GRANDMASTER,M5hMPbIeEOMhmqwQqQBxulFbVxOUXIMOaYCsZA4GoZqoeTU,1000jg,272,62,45,False,False,True,False
GRANDMASTER,VbrTneeA1i0kEZvigQ6ozTxRdu48-QH_iEDM7JypxYfpnwA,생명이끊어진사람,211,47,38,False,False,True,True
GRANDMASTER,PJM49HaXUFPc-mBBqiVOO_j-YMnl4cuiFzY9pXVJ3OtJSNug,도구들은다개짐승,265,116,109,False,False,True,True
GRANDMASTER,OwGJC7dKtUK1tivXTAd9naJkxgLYUfdheu5Pa9ri7qOy18c,Yorick,416,77,67,False,False,False,False
GRANDMASTER,H1bDo4WswFeek_R-jRf8KVfVirK0iJDmtZ2VpMYvineIuyHbP33MVZ7q7w,Aspecto,201,185,174,False,False,True,False
GRANDMASTER,nG1_js3tKFtS5KwglcrYI1hXbolrFeSUMZToww0vmyXBYDbL4HCjJITc5Q,민수99,288,76,60,False,False,True,False
GRANDMASTER,nXh88NEG1gWfnRba3hhz_0tGdctw2t7Mbv97bLmp0hyVukY,미니밍이,201,43,31,False,False,True,False
GRANDMASTER,cvx2abIkTy7CBz2jiz8acX8b0LIdJhcnzh3pNGufNuYHR8Y,UijU,483,96,83,False,False,True,False
GRANDMASTER,5GkkR7JfHPDoV7j7UBEn7jiaFvonXojCbxNqbK2rzjn3vUE,적 토,200,115,103,False,False,True,True
GRANDMASTER,Bcyi9sTX0Ovb0oCTYdeCa0bWHJxuafo6VAsed9EtmA3a1E8,Kingen,227,37,27,False,False,True,False
GRANDMASTER,8BIxrPIrxFIwKE3OpDg1dtJZAriiEy2CJHmdNuECnaxgqPe1BPKqNbCloQ,AlwaysOnline,229,84,61,False,False,True,False
GRANDMASTER,GWQOUeXaOn6qRXdSj7qBcX60CHDRwypmLueNnCJeOQBLtro9vKFJ55EJyA,20050726정글,329,96,75,False,False,True,False
GRANDMASTER,TJXLooZoXUIXsqlqC_L6aaVORvuiwos6dHoMKnbVYp01B_U,젤다 OuO,271,129,111,False,False,False,False
GRANDMASTER,ZmbWyCl52nObRO9dAYOszedlW-dCtvEQVSczlFJF68-uQys,HLE Cheoni,337,65,50,False,False,True,False
GRANDMASTER,B7N7zXLtFDSN8sKTF9IGF_TsYmx8n5fKP2C0owyNEa5qJtg,푸 얌,238,173,160,True,False,False,False
GRANDMASTER,np2wbIoVtU0hnu0NAm9hz0Jjryz6z_HJRpEVU-u7Zugky_w,ANG TV,273,63,48,False,False,False,False
GRANDMASTER,fmyfKtliwi-VnaKz8ST8ox5i8-WQpaUNcp_ceYyxxyvtIec,실직자 조,270,61,40,False,False,True,False
GRANDMASTER,V61r3uQLe7WtuSxA4egFnJhNQgRx1wqbLqNXqFBqI1dNw4o,조관우급 늪 설치,271,190,183,False,False,False,False
GRANDMASTER,O3SRrOzXvnMD8gJmEZRslhuV2NNFbXIMS587HBO_rJixWg,NekoL,420,102,86,False,False,False,False
GRANDMASTER,dXaixXOBYJK9ubDaYwcJ45EHVnNVd4iLo9XNMXwkK_3L9EY,현주입니다,245,47,32,False,False,True,False
GRANDMASTER,0VNzac7JFWi_l3ULn3snKvct5zG3O3sRcgz4NF_bYKnLfg,대야웰백,220,72,57,False,False,True,False
GRANDMASTER,9XDIPlv5kHWDcmpD4-Bd8tcIRXqjMId7xWcqV8JmJL1QfA,abuguodaa,281,123,98,False,False,True,False
GRANDMASTER,MTNNigzEKTaQDvnJsS5gx8SOIDW6au5iZXHuVhHthgezdQy-,쉔으로 챌도전,212,111,73,False,False,True,True
GRANDMASTER,brEBXdFelfQfXGJsyC3-PqV6HIjBN-q-82VbSpISn2tMsTJ2e8p0BgM6eg,tianxuanziren,257,125,104,False,False,True,False
GRANDMASTER,MCsmroLCAmBZtKNp6HH8g55iiQfekTB7YyuibofZam-NKL0,XuanFengzz,203,97,79,False,False,False,False
GRANDMASTER,GjwqGVNpw6PUampaRC2L6iZnF2Xm-bqC7_nS200E9S23rA,시부야카논사랑해,338,72,62,False,False,True,False
GRANDMASTER,C9fmZ_XyA6LOazYwoOzOqDOkVuXEyMNTm5CAbryeDemWy-Xw,DK Lucid,301,87,82,False,False,False,True
GRANDMASTER,yCZLjf8jjORd3qsjBvTBKOtoowZWhtbZ8Ard3WCgA897bXk,화내 지 마12,289,113,91,False,False,False,False
GRANDMASTER,yRrWEflmyNI2cGIQTCOLSjWjzBLKNFvsTXVmgfX5TXPf5EU,Honpi,207,117,115,False,False,True,False
GRANDMASTER,xJ-8KlWS19AjonfEqBP8SX-Vj2r9uxz557cnU6V-EuDQBeo,qazesce,296,57,42,False,False,False,False
GRANDMASTER,6Yi8TaXFgYE_2ksoMu_lzZ_Dc-S-8YFjVInPBHQszNqHlQcW5-fcsnVn3g,Kishimiyu,442,101,69,False,False,True,False
GRANDMASTER,_ExZHv9GKkl1HUUOucnkEyeXgdItwn2KDdhiwor4Y-ap-nE,Neth3rworld,219,50,29,False,False,False,False
GRANDMASTER,iUhRAntsWuGYxy8yEgw_asD3BDS6Kf9Ckihlo0p9S4_liyk,장수열,240,60,51,False,False,False,False
GRANDMASTER,4Ans7D5-GbD8xsfAcBT6VWmo4gMvGYgAC6nIoMMzuvSURA,후쿠시마산꽃게,230,111,92,False,False,True,False
GRANDMASTER,5-rB2aXtHXJSzgZdRfMBqpi_FDLXGfk83Zqs2FrR8eLsFjszYQacPiPwzQ,kratosgf,483,134,120,True,False,False,False
GRANDMASTER,i20sGNguNiPyqVLoea6NEOMeyxD7Dvu2bMWFkGfUprgbID8rAzBrXiMsig,R NERO,214,128,112,False,False,True,False
GRANDMASTER,6GIKtrBv7ntrTnDfoC1OOggv95TjBdkc8QX4-Jhfhp3yNMU,MUDAI,426,145,123,False,False,False,False
GRANDMASTER,94MgJUcQoA20_cFRKYLUFAzWld0IY4RUemiO9Qjt96qve9Uy,LSB TA K ON,249,140,134,False,False,True,False
GRANDMASTER,cqe8kBHX3pGuAlWkPPLQsVs8lF-dawpvX0LhL9_JBtneLQOZFP-untOQng,신비한 뱀,202,91,82,False,False,True,True
GRANDMASTER,oH4C3m7QB1Vz3A2P5Ij0AOV7QaVcEF4sAhm_dcbl42uG9go,99도의 사나이,283,65,55,False,False,False,False
GRANDMASTER,AUNkEU29Y7bxw0101ZFfwYYIwujjX2aD-xzqhjPTJci4sio,런닝러너,339,143,126,False,False,True,False
GRANDMASTER,AYqKbDTwiLnq4dNcwZFdR93C3xE0KO6uSOZPAXK4evKQkQk,fa mid,129,277,269,False,False,True,False
GRANDMASTER,HWRXk04XXvaFslGOs6jrnxP_gdo9zaLKqaMkx7naLjpAINcOgu5Lc2MQ0w,올곧고바르게살자,332,49,24,False,False,False,False
GRANDMASTER,vubz7RvZ9Z_9FxsaBeinFaDAoQvG_yjIQBXe5tpSzPLCRr0,langman de,461,80,65,False,False,True,False
GRANDMASTER,jLTccPXIl2QaBMY8ViroMtIei_ikMwfZJUwCCCbZ37t7NzNuaVAv8-TS5g,서번트 증후군,251,109,97,False,False,True,False
GRANDMASTER,EPb8QuFN1eTEn9qcmLpaPrmycake8x9rculEoFKH0KrAowM,구글에롤브라더스,214,86,79,False,False,False,False
GRANDMASTER,PNmQ1VU_zh8fY5JMPNVuSZw7nnZK6Oe7GKqfIGaSnLenP4k,HLE Cracker,271,80,71,False,False,False,False
GRANDMASTER,zpVeL3l4KT6_IQUmQ1CYk-sXXyEKIEwL1TxNoi-eMT3cYg,No longer love,309,108,110,False,False,False,False
GRANDMASTER,2Kwm0JxKQkUsQDJCiIWom7IjQ3ypiYIeW_gSxVUFCc2Cww,DRX Deft 팬,210,107,76,False,False,True,False
GRANDMASTER,hpxNiLLBQ1x1JXDlxUqteh6F77BjcXiDuJ50rWP7Z--drf9ggJo5ua3cXg,이기다e,167,136,129,False,False,True,False
GRANDMASTER,fWTcgRia4IPbm6Vr0JF7RWazun8QlRg4IOGphRm7m3baThQ,광연4,233,100,85,False,False,False,False
GRANDMASTER,NAR4x8q59gTlYIvSbrhADILKXZLlKpPldeOHltZT0JxLa6BZIYsrGoeLDA,BLUEVENT SHU350W,297,123,98,False,False,False,False
GRANDMASTER,3HGkse4xe7s_EAxn70tVYN-VhG_rbW8L617OSMUciVmOlQPvPSWrHDAvTA,BlueRiver,215,87,65,False,False,True,True
GRANDMASTER,KZWR9T3_fIH6dzeaDEbdI2ekLG72dPfL0TwCz6tP2ud42dc,Let me sup,397,80,77,False,False,False,False
GRANDMASTER,6_8zXrDihAorcNK6Bg-1qwRQXSTfXcGM6URktg5yAOx8b8ZFKnTJ3p0i6Q,Xbm,460,130,115,True,False,False,False
